id;about;title;estado;estadoEstacion;address;tipoEquipamiento;bicisDisponibles;anclajesDisponibles;geometry;lastUpdated;description;descripcion;icon
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/36";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=36";"Cno. de las Torres - C/ Silvestre Pérez";"OPN";"http://vocab.linkeddata.es/datosabiertos/kos/transporte/bicicleta-publica/tipo-estado-estacion/operativa";"Cno. de las Torres - C/ Silvestre Pérez";"http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/equipamiento/tipo-equipamiento/estacion-de-bicicletas";"10";"9";"-0.8668954130699558,41.64847361265244";2022-11-30T18:51:03Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 10</li><li>Anclajes disponibles: 9</li></ul><p>Actualizado: 18:51</p>";"Datos de la estación bizi Cno. de las Torres - C/ Silvestre Pérez";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/102";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=102";"C/ Pedro Joaquín Soler - Coso";"OPN";"http://vocab.linkeddata.es/datosabiertos/kos/transporte/bicicleta-publica/tipo-estado-estacion/operativa";"C/ Pedro Joaquín Soler - Coso";"http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/equipamiento/tipo-equipamiento/estacion-de-bicicletas";"4";"17";"-0.877805352059006,41.65126379369266";2022-11-30T18:51:04Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 4</li><li>Anclajes disponibles: 17</li></ul><p>Actualizado: 18:51</p>";"Datos de la estación bizi C/ Pedro Joaquín Soler - Coso";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/8";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=8";"Pº Echegaray y Caballero - Puente del Pilar";"OPN";"http://vocab.linkeddata.es/datosabiertos/kos/transporte/bicicleta-publica/tipo-estado-estacion/operativa";"Pº Echegaray y Caballero - Puente del Pilar";"http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/equipamiento/tipo-equipamiento/estacion-de-bicicletas";"8";"11";"-0.8707352711256368,41.654173665675664";2022-11-30T18:51:03Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 8</li><li>Anclajes disponibles: 11</li></ul><p>Actualizado: 18:51</p>";"Datos de la estación bizi Pº Echegaray y Caballero - Puente del Pilar";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/37";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=37";"C/ Florentino Ballesteros - C/ Matadero";"OPN";"http://vocab.linkeddata.es/datosabiertos/kos/transporte/bicicleta-publica/tipo-estado-estacion/operativa";"C/ Florentino Ballesteros - C/ Matadero";"http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/equipamiento/tipo-equipamiento/estacion-de-bicicletas";"3";"17";"-0.86865550279131,41.64502365067565";2022-11-30T18:51:03Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 3</li><li>Anclajes disponibles: 17</li></ul><p>Actualizado: 18:51</p>";"Datos de la estación bizi C/ Florentino Ballesteros - C/ Matadero";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/34";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=34";"Plaza Magdalena";"OPN";"http://vocab.linkeddata.es/datosabiertos/kos/transporte/bicicleta-publica/tipo-estado-estacion/operativa";"Plaza Magdalena";"http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/equipamiento/tipo-equipamiento/estacion-de-bicicletas";"15";"5";"-0.8733053253633987,41.65214371441608";2022-11-30T18:51:03Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 15</li><li>Anclajes disponibles: 5</li></ul><p>Actualizado: 18:51</p>";"Datos de la estación bizi Plaza Magdalena";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/35";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=35";"Pº Echegaray y Caballero - C/ Salvador Minguijón";"OPN";"http://vocab.linkeddata.es/datosabiertos/kos/transporte/bicicleta-publica/tipo-estado-estacion/operativa";"Pº Echegaray y Caballero - C/ Salvador Minguijón";"http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/equipamiento/tipo-equipamiento/estacion-de-bicicletas";"9";"12";"-0.8606153342588838,41.65133349832978";2022-11-30T18:51:03Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 9</li><li>Anclajes disponibles: 12</li></ul><p>Actualizado: 18:51</p>";"Datos de la estación bizi Pº Echegaray y Caballero - C/ Salvador Minguijón";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/33";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=33";"Plaza del Pilar - Edificio Turismo ";"OPN";"http://vocab.linkeddata.es/datosabiertos/kos/transporte/bicicleta-publica/tipo-estado-estacion/operativa";"Plaza del Pilar - Edificio Turismo ";"http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/equipamiento/tipo-equipamiento/estacion-de-bicicletas";"8";"12";"-0.8780852420448603,41.65557378875921";2022-11-30T18:51:03Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 8</li><li>Anclajes disponibles: 12</li></ul><p>Actualizado: 18:51</p>";"Datos de la estación bizi Plaza del Pilar - Edificio Turismo ";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/31";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=31";"Avda. Pablo Gargallo - C/ Ignacio Menaya";"OPN";"http://vocab.linkeddata.es/datosabiertos/kos/transporte/bicicleta-publica/tipo-estado-estacion/operativa";"Avda. Pablo Gargallo - C/ Ignacio Menaya";"http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/equipamiento/tipo-equipamiento/estacion-de-bicicletas";"13";"8";"-0.895795146225079,41.65993408323363";2022-11-30T18:51:03Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 13</li><li>Anclajes disponibles: 8</li></ul><p>Actualizado: 18:51</p>";"Datos de la estación bizi Avda. Pablo Gargallo - C/ Ignacio Menaya";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/32";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=32";"C/ Ramón y Cajal - C/ Madre Rafols";"OPN";"http://vocab.linkeddata.es/datosabiertos/kos/transporte/bicicleta-publica/tipo-estado-estacion/operativa";"C/ Ramón y Cajal - C/ Madre Rafols";"http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/equipamiento/tipo-equipamiento/estacion-de-bicicletas";"10";"5";"-0.8865253471638206,41.65177394231965";2022-11-30T18:51:03Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 10</li><li>Anclajes disponibles: 5</li></ul><p>Actualizado: 18:51</p>";"Datos de la estación bizi C/ Ramón y Cajal - C/ Madre Rafols";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/29";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=29";"Avda. Madrid - Aljafería";"OPN";"http://vocab.linkeddata.es/datosabiertos/kos/transporte/bicicleta-publica/tipo-estado-estacion/operativa";"Avda. Madrid - Aljafería";"http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/equipamiento/tipo-equipamiento/estacion-de-bicicletas";"7";"14";"-0.8966352556830118,41.65570410717939";2022-11-30T18:51:03Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 7</li><li>Anclajes disponibles: 14</li></ul><p>Actualizado: 18:51</p>";"Datos de la estación bizi Avda. Madrid - Aljafería";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
